2025-03-08T14:03:11.835 +0530 [V]  - lastNotificationReceivedTime = 1741422791834, INFO
2025-03-08T14:03:11.839 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:11.841 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:11.845 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:11.846 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:11.851 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:11.852 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:12.073 +0530 [V]  - lastNotificationReceivedTime = 1741422792072, INFO
2025-03-08T14:03:12.075 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:12.077 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:12.081 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:12.082 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:12.086 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:12.087 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:13.363 +0530 [V]  - lastNotificationReceivedTime = 1741422793362, INFO
2025-03-08T14:03:13.365 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:13.368 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:13.372 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:13.373 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:13.378 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:13.379 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:15.350 +0530 [V]  - lastNotificationReceivedTime = 1741422795350, INFO
2025-03-08T14:03:15.352 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:15.355 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:15.357 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:15.357 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:15.360 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:15.360 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:49.644 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:49.648 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:49.650 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:49.651 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:49.653 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:49.653 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:52.077 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:52.080 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:52.083 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:52.083 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:52.087 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:52.087 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:52.089 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:52.091 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:52.092 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:52.092 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:52.095 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:52.095 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:52.096 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:52.097 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:52.098 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:52.098 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:52.100 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:52.100 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:52.101 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:52.104 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:52.105 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:52.105 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:52.107 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:52.108 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:52.108 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:52.111 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:52.114 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:52.114 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:52.117 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:52.117 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:52.118 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:52.120 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:52.121 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:52.121 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:52.122 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:52.122 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:56.042 +0530 [V]  - lastNotificationReceivedTime = 1741422836041, INFO
2025-03-08T14:03:56.043 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:56.046 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:56.049 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:56.050 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:56.053 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:56.054 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:56.547 +0530 [V]  - lastNotificationReceivedTime = 1741422836546, INFO
2025-03-08T14:03:56.550 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:56.552 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:56.557 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:56.554 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:56.553 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
